id,area,title,epistemic_type,principia_kind,maturity,stability,evidence_count,outgoing_relation_count,incoming_relation_count,tags
meta:information-control-complexity:separation-principle,information-control-complexity,"Under LQG Assumptions, Estimation and Control Can Be Designed Separately",separation theorem,theorem,established,high,2,0,0,separation-principle|lqg|estimation|control
meta:information-control-complexity:bode-sensitivity,information-control-complexity,Feedback Improvement in One Frequency Range Is Paid for Elsewhere,Bode sensitivity integral,theorem,established,high,2,1,3,bode|sensitivity|feedback|waterbed-effect
meta:information-control-complexity:small-world,information-control-complexity,Sparse Long-Range Links Can Greatly Reduce Network Distances,small-world network principle,empirical,established,high,1,0,0,small-world|networks|clustering|path-length
meta:information-control-complexity:scale-free,information-control-complexity,Preferential Attachment Can Produce Heavy-Tailed Degree Distributions,network-growth model,mechanistic,supported,context-dependent,2,0,0,scale-free|preferential-attachment|hubs|power-law
meta:information-control-complexity:robust-yet-fragile,information-control-complexity,Optimization for Expected Conditions Can Create Extreme Vulnerability to Rare Structured Perturbations,complex-systems principle,heuristic,supported,high,2,1,1,robust-yet-fragile|hot|optimization|rare-events
meta:information-control-complexity:self-organized-criticality,information-control-complexity,Slowly Driven Threshold Systems Can Organize Near Scale-Free Avalanche Regimes,self-organized criticality hypothesis,hypothesis,supported,contested,2,0,0,self-organized-criticality|avalanches|power-law|thresholds
meta:information-control-complexity:emergence,information-control-complexity,Collective Organization Can Introduce Effective Variables and Laws Absent at Component Scale,emergence principle,mechanistic,supported,high,2,1,1,emergence|collective-behavior|order-parameter|coarse-graining
meta:information-control-complexity:tipping-hysteresis,information-control-complexity,"Positive Feedback Can Create Thresholds, Alternative States, and Hysteresis",nonlinear dynamics principle,mechanistic,supported,high,2,0,3,tipping|hysteresis|positive-feedback|bifurcation
meta:information-control-complexity:modularity-hierarchy,information-control-complexity,Nearly Decomposable Modules Enable Complexity to Scale,organizational principle,heuristic,supported,high,2,1,3,modularity|hierarchy|near-decomposability|interfaces
meta:economics-game-theory:scarcity-opportunity-cost,economics-game-theory,Scarcity Makes Every Choice an Opportunity-Cost Trade-off,foundational economic proposition,heuristic,established,high,2,1,1,scarcity|opportunity-cost|allocation|trade-off
meta:economics-game-theory:comparative-advantage,economics-game-theory,"Comparative Advantage Depends on Relative, Not Absolute, Costs",theoretical economic principle,theorem,established,high,2,0,0,comparative-advantage|specialization|exchange|relative-cost
meta:economics-game-theory:marginal-optimization,economics-game-theory,Optimal Choices Equate Marginal Benefit and Marginal Cost at an Interior Solution,optimization proposition,theorem,established,high,2,1,0,marginalism|optimization|shadow-price|first-order-condition
meta:economics-game-theory:competitive-equilibrium,economics-game-theory,Competitive Equilibrium Coordinates Decentralized Choices Under Strong Institutional Assumptions,equilibrium existence theorem,theorem,established,high,2,1,0,general-equilibrium|prices|decentralization|fixed-point
meta:economics-game-theory:nash-equilibrium,economics-game-theory,"Nash Equilibrium Is Mutual Best Response, Not Automatic Optimality",equilibrium existence theorem,theorem,established,high,2,0,1,nash-equilibrium|best-response|strategic-interaction|game-theory
meta:economics-game-theory:pareto-efficiency-welfare,economics-game-theory,Pareto Efficiency Separates Feasibility from Distributional Judgment,welfare theorem and criterion,theorem,established,high,2,1,1,pareto-efficiency|welfare|distribution|feasibility
meta:economics-game-theory:transaction-costs-institutions,economics-game-theory,Institutions Arise Partly to Reduce Transaction and Coordination Costs,institutional economic proposition,mechanistic,established,high,2,0,0,transaction-costs|institutions|governance|coordination
meta:economics-game-theory:externalities-public-goods,economics-game-theory,Unpriced External Effects Separate Private and Social Optima,welfare-economic proposition,mechanistic,established,high,2,0,0,externality|public-good|free-riding|social-cost
meta:economics-game-theory:commons-governance,economics-game-theory,Common-Pool Resources Require Governance Matched to Excludability and Rivalry,institutional observation,empirical,replicated,high,2,0,0,commons|governance|collective-action|institutions
meta:economics-game-theory:adverse-selection,economics-game-theory,Private Information Can Drive High-Quality Participants from a Market,information-economic mechanism,mechanistic,established,high,2,1,0,adverse-selection|asymmetric-information|market-unravelling|selection-bias
meta:economics-game-theory:signaling-screening,economics-game-theory,Costly Signals and Screens Can Separate Hidden Types Only Under Incentive Compatibility,information-economic proposition,mechanistic,established,high,2,1,0,signaling|screening|incentive-compatibility|hidden-type
meta:economics-game-theory:principal-agent-moral-hazard,economics-game-theory,Delegation Creates Moral Hazard When Actions Are Hidden and Objectives Differ,contract-theoretic mechanism,mechanistic,established,high,2,1,1,principal-agent|moral-hazard|contracts|monitoring
meta:economics-game-theory:revelation-principle,economics-game-theory,Mechanism Search Can Often Be Reduced to Truthful Direct Mechanisms,mechanism-design theorem,theorem,established,high,2,1,0,mechanism-design|revelation|truthfulness|incentives
meta:economics-game-theory:arrow-impossibility,economics-game-theory,No Aggregation Rule Satisfies All Classical Fairness Axioms on Unrestricted Preferences,social-choice impossibility theorem,theorem,established,high,2,0,0,arrow-impossibility|social-choice|aggregation|fairness
meta:economics-game-theory:bilateral-trade-impossibility,economics-game-theory,Private Information Can Make Efficient Bilateral Trade Incompatible with Incentives and Budget Balance,mechanism-design impossibility theorem,theorem,established,high,1,0,0,bilateral-trade|impossibility|private-information|budget-balance
meta:economics-game-theory:lucas-critique,economics-game-theory,Policy Changes Alter the Behavioral Rules Used to Predict Their Effects,macro-causal proposition,mechanistic,established,high,2,1,0,lucas-critique|policy|invariance|adaptation
meta:economics-game-theory:path-dependence-increasing-returns,economics-game-theory,Increasing Returns Can Lock Systems into Path-Dependent Outcomes,dynamic economic mechanism,mechanistic,replicated,high,2,1,0,path-dependence|increasing-returns|lock-in|network-effects
meta:economics-game-theory:bounded-rationality,economics-game-theory,"Rational Choice Is Constrained by Information, Computation, and Search",behavioral and computational proposition,heuristic,established,high,2,1,1,bounded-rationality|satisficing|heuristics|computation
meta:economics-game-theory:reference-dependence-loss-aversion,economics-game-theory,Choices Can Depend on Reference Points and Asymmetric Valuation of Gains and Losses,behavioral observation,empirical,replicated,high,2,0,0,prospect-theory|reference-dependence|loss-aversion|framing
meta:medicine-epidemiology:randomization-causal-balance,medicine-epidemiology,Random Assignment Creates Comparable Treatment Groups in Expectation,causal design principle,theorem,established,high,2,1,0,randomization|causal-inference|clinical-trial|allocation
meta:medicine-epidemiology:intention-to-treat,medicine-epidemiology,Intention-to-Treat Preserves the Causal Meaning of Random Assignment,clinical-trial analysis principle,heuristic,established,high,2,0,0,intention-to-treat|estimand|adherence|randomized-trial
meta:medicine-epidemiology:bradford-hill-viewpoints,medicine-epidemiology,"Causal Interpretation Requires Converging Evidence, Not a Mechanical Checklist",causal-evidence heuristic,heuristic,established,high,2,1,0,bradford-hill|causation|triangulation|epidemiology
meta:medicine-epidemiology:base-rate-predictive-value,medicine-epidemiology,Clinical Test Meaning Depends on Prevalence as Well as Sensitivity and Specificity,Bayesian diagnostic theorem,theorem,established,high,2,1,1,base-rate|predictive-value|diagnosis|bayes
meta:medicine-epidemiology:screening-benefit-harm,medicine-epidemiology,Screening Can Improve Outcomes Only If Earlier Detection Changes Net Patient Benefit,clinical decision proposition,heuristic,established,high,2,1,0,screening|overdiagnosis|lead-time-bias|net-benefit
meta:medicine-epidemiology:heterogeneous-treatment-effects,medicine-epidemiology,Average Treatment Effects Can Conceal Clinically Important Effect Heterogeneity,causal-effect proposition,empirical,established,high,2,1,2,treatment-effect-heterogeneity|subgroups|interaction|personalized-medicine
meta:medicine-epidemiology:surrogate-endpoint-risk,medicine-epidemiology,A Surrogate Endpoint Is Valid Only When It Reliably Mediates the Treatment Effect on the Clinical Outcome,clinical inference proposition,hypothesis,contested,context-dependent,2,1,0,surrogate-endpoint|biomarker|mediation|clinical-outcome
meta:medicine-epidemiology:external-validity-transport,medicine-epidemiology,Trial Efficacy Does Not Automatically Transport to New Patients or Settings,transportability proposition,heuristic,established,high,2,1,3,external-validity|transportability|trial-population|implementation
meta:medicine-epidemiology:absolute-relative-risk,medicine-epidemiology,"Clinical Importance Depends on Absolute Risk, Not Relative Effect Alone",clinical decision proposition,heuristic,established,high,2,0,0,absolute-risk|relative-risk|nnt|clinical-significance
meta:medicine-epidemiology:reproduction-number-threshold,medicine-epidemiology,Epidemic Growth Depends on the Effective Reproduction Number Crossing One,epidemic threshold theorem,theorem,established,high,2,1,0,R0|epidemic-threshold|transmission|infectious-disease
meta:medicine-epidemiology:herd-immunity,medicine-epidemiology,Population Immunity Reduces Transmission Nonlinearly Through Contact Structure,epidemiological mechanism,mechanistic,established,high,2,0,1,herd-immunity|vaccination|indirect-effect|contact-network
meta:medicine-epidemiology:prevention-paradox,medicine-epidemiology,A Small Benefit to Many Can Prevent More Disease Than a Large Benefit to a Few,population-health observation,heuristic,established,high,2,0,0,prevention-paradox|population-strategy|risk-distribution|public-health
meta:medicine-epidemiology:competing-risks,medicine-epidemiology,Competing Events Change the Probability and Interpretation of Clinical Outcomes,survival-analysis proposition,theorem,established,high,2,0,0,competing-risks|survival-analysis|cumulative-incidence|estimand
meta:medicine-epidemiology:decision-threshold-net-benefit,medicine-epidemiology,Prediction Is Clinically Useful Only When It Improves Decisions at Relevant Thresholds,clinical decision principle,heuristic,established,high,2,0,1,decision-threshold|net-benefit|clinical-prediction|utility
meta:medicine-epidemiology:measurement-and-case-definition,medicine-epidemiology,Disease Frequency and Effect Estimates Depend on Case Definitions and Measurement Processes,measurement proposition,empirical,established,high,2,1,0,case-definition|measurement|phenotyping|surveillance
meta:medicine-epidemiology:benefit-harm-balance,medicine-epidemiology,"Clinical Recommendations Require Joint Evaluation of Benefits, Harms, Burdens, and Uncertainty",normative decision principle,heuristic,established,high,2,1,0,benefit-harm|clinical-decision|guideline|uncertainty
meta:medicine-epidemiology:triangulation-evidence,medicine-epidemiology,Concordance Across Differently Biased Designs Strengthens Medical Causal Inference,methodological proposition,heuristic,established,high,2,1,0,triangulation|evidence-synthesis|causal-inference|bias
meta:earth-climate:mass-energy-budgets,earth-climate,Earth-System Claims Must Close Relevant Mass and Energy Budgets,conservation-law application,theorem,established,high,2,1,1,budget|conservation|flux|reservoir
meta:earth-climate:radiative-equilibrium-greenhouse,earth-climate,Planetary Temperature Is Constrained by Radiative Balance and Atmospheric Opacity,physical climate mechanism,mechanistic,established,high,2,1,0,radiative-balance|greenhouse-effect|opacity|climate
meta:earth-climate:feedback-climate-sensitivity,earth-climate,Climate Response Is Amplified or Damped by State-Dependent Feedbacks,feedback proposition,mechanistic,established,high,2,1,0,climate-sensitivity|feedback|forcing|state-dependence
meta:earth-climate:geostrophic-balance,earth-climate,Large-Scale Rotating Flows Tend Toward Geostrophic Balance,dynamical approximation,mechanistic,established,high,2,1,0,geostrophic-balance|coriolis|pressure-gradient|large-scale-flow
meta:earth-climate:hydrostatic-balance,earth-climate,Vertical Pressure Structure Is Often Set by Hydrostatic Balance,dynamical approximation,mechanistic,established,high,2,1,0,hydrostatic-balance|vertical-structure|pressure|scale-analysis
meta:earth-climate:plate-tectonics,earth-climate,Lithospheric Plates Reorganize Earth Through Relative Motion and Boundary Processes,geological theory,mechanistic,established,high,2,0,0,plate-tectonics|seafloor-spreading|subduction|geodynamics
meta:earth-climate:uniformitarianism-actualism,earth-climate,"Present Processes Constrain Interpretation of the Geological Past, but Rates and Regimes May Differ",historical-science principle,heuristic,established,high,2,1,0,uniformitarianism|actualism|historical-inference|geology
meta:earth-climate:stratigraphic-order,earth-climate,Stratigraphic Relations Impose Relative Temporal Order Before Numerical Dating,geological ordering principles,heuristic,established,high,2,0,0,stratigraphy|superposition|relative-time|geochronology
meta:earth-climate:biogeochemical-cycles,earth-climate,Biogeochemical Elements Move Through Coupled Reservoirs with Characteristic Turnover Times,Earth-system mechanism,mechanistic,established,high,2,1,0,biogeochemical-cycle|reservoir|flux|stoichiometry
meta:earth-climate:chaos-predictability,earth-climate,Deterministic Geophysical Dynamics Can Have Finite Predictability Horizons,chaos observation,empirical,established,high,2,1,0,chaos|predictability|ensemble|initial-condition
meta:earth-climate:forcing-internal-variability,earth-climate,Observed Climate Change Combines External Forcing with Internal Variability,attribution proposition,mechanistic,established,high,2,1,0,forcing|internal-variability|attribution|fingerprint
meta:earth-climate:fingerprint-attribution,earth-climate,Causal Attribution Is Stronger When Observed Patterns Match Mechanism-Specific Fingerprints,attribution methodology,heuristic,established,high,2,1,0,fingerprint|attribution|pattern|mechanism
meta:earth-climate:tipping-hysteresis,earth-climate,Slow Forcing Can Trigger Abrupt and Hysteretic Earth-System Transitions,nonlinear systems proposition,mechanistic,supported,context-dependent,2,1,0,tipping-point|hysteresis|multiple-stability|abrupt-change
meta:earth-climate:parameterization-scale-separation,earth-climate,Unresolved Earth-System Processes Must Be Parameterized with Scale-Aware Closure Assumptions,modeling proposition,heuristic,established,high,2,1,0,parameterization|closure|scale-separation|earth-system-model
meta:earth-climate:state-dependent-resilience,earth-climate,Resilience Is the Capacity to Absorb Disturbance Without Losing System Function or Regime,systems observation,empirical,replicated,high,2,0,1,resilience|regime-shift|adaptation|social-ecological
meta:earth-climate:timescale-memory,earth-climate,Earth-System Responses Depend on Reservoir Memory and Multiple Timescales,dynamical systems proposition,mechanistic,established,high,2,0,1,memory|timescale|lag|irreversibility
meta:earth-climate:proxy-calibration,earth-climate,"Proxy Records Require Calibration, Chronology, and Preservation Models",measurement and inference principle,heuristic,established,high,2,2,0,proxy|calibration|paleoclimate|chronology
meta:engineering-optimization:requirements-constraints-first,engineering-optimization,"Engineering Solutions Are Defined by Requirements, Constraints, and Failure Modes Before Optimization",engineering design principle,heuristic,established,high,2,1,0,requirements|constraints|failure-mode|verification
meta:engineering-optimization:pareto-frontier,engineering-optimization,Conflicting Objectives Produce a Pareto Frontier Rather Than a Single Universal Optimum,multi-objective optimization theorem,theorem,established,high,2,1,2,pareto-frontier|multi-objective|trade-space|nondominance
meta:engineering-optimization:convexity-global-optimality,engineering-optimization,Convexity Converts Local Optimality into Global Optimality,optimization theorem,theorem,established,high,2,1,0,convexity|global-optimum|tractability|certificate
meta:engineering-optimization:duality-certificates,engineering-optimization,"Dual Problems Provide Bounds, Sensitivity, and Optimality Certificates",optimization theorem,theorem,established,high,2,1,1,duality|certificate|shadow-price|sensitivity
meta:engineering-optimization:kkt-conditions,engineering-optimization,KKT Conditions Characterize Constrained Optima Under Regularity,optimization theorem,theorem,established,high,2,0,2,KKT|constraints|stationarity|complementary-slackness
meta:engineering-optimization:no-free-lunch-optimization,engineering-optimization,Optimization Algorithms Gain Advantage by Exploiting Problem Structure,optimization impossibility theorem,theorem,established,high,1,1,0,no-free-lunch|optimization|problem-structure|algorithm-selection
meta:engineering-optimization:robustness-performance-tradeoff,engineering-optimization,"Robustness Requires Paying with Performance, Complexity, or Conservatism",control and design trade-off,theorem,established,high,2,1,1,robustness|performance|conservatism|uncertainty
meta:engineering-optimization:safety-factor-reliability,engineering-optimization,"Safety Margins Must Reflect Uncertainty, Consequence, and Failure Probability",reliability design principle,heuristic,established,high,2,1,0,safety-factor|reliability|failure-probability|margin
meta:engineering-optimization:redundancy-common-cause,engineering-optimization,Redundancy Improves Reliability Only When Failure Modes Are Sufficiently Independent,reliability proposition,mechanistic,established,high,2,0,3,redundancy|common-cause|fault-tolerance|diversity
meta:engineering-optimization:stability-margins,engineering-optimization,"Nominal Stability Is Insufficient Without Gain, Phase, or Model-Uncertainty Margins",control-system proposition,theorem,established,high,2,1,1,stability-margin|control|uncertainty|certificate
meta:engineering-optimization:modularity-interfaces,engineering-optimization,Modularity Localizes Change Only When Interfaces Encapsulate Volatile Decisions,architecture principle,heuristic,established,high,2,0,3,modularity|interface|information-hiding|architecture
meta:engineering-optimization:fault-containment-graceful-degradation,engineering-optimization,Safe Systems Contain Faults and Degrade Gracefully Rather Than Failing Abruptly,resilience design principle,heuristic,established,high,2,1,0,fault-containment|graceful-degradation|resilience|safe-state
meta:engineering-optimization:lifecycle-cost,engineering-optimization,Engineering Value Must Be Evaluated Across the Full Lifecycle,lifecycle economic principle,heuristic,established,high,2,0,0,lifecycle-cost|total-cost-of-ownership|maintenance|sustainability
meta:engineering-optimization:dimensional-analysis,engineering-optimization,Dimensionless Groups Constrain Transfer Across Scales,dimensional theorem,theorem,established,high,2,2,0,dimensional-analysis|similarity|scaling|units
meta:engineering-optimization:verification-validation-uncertainty,engineering-optimization,"Verification, Validation, and Uncertainty Quantification Answer Different Questions",model credibility principle,heuristic,established,high,2,1,3,verification|validation|uncertainty-quantification|simulation
meta:engineering-optimization:human-factors,engineering-optimization,"Human Performance Is Part of the System, Not an External Disturbance",human-factors principle,empirical,established,high,2,1,0,human-factors|automation|sociotechnical-system|safety
meta:engineering-optimization:experiment-model-iteration,engineering-optimization,"Engineering Progress Requires Iteration Between Models, Prototypes, Tests, and Failure Analysis",design-process observation,heuristic,replicated,high,2,1,1,iteration|prototype|failure-analysis|design-process
meta:engineering-optimization:robust-design-under-uncertainty,engineering-optimization,"Design Under Uncertainty Should Optimize Performance Distribution, Not Nominal Point Estimates",robust design proposition,heuristic,established,high,2,1,1,robust-design|uncertainty|variation|reliability
